storeName,openingHours,storeType,products
JetStop,9:30 AM - 5:30 PM,Gift shop,"[""water bottles"",""snacks"",""umbrellas"",""luggage tags"",""travel pillows"",""magazines""]"
HangarHut,12:00 PM - 8:00 PM,Fast food restaurant,"[""books"",""snacks"",""earphones"",""postcards"",""travel adapters""]"
SkyLounge,9:00 AM - 5:00 PM,Duty-free shop,"[""water bottles"",""travel-sized toiletries"",""luggage tags"",""portable chargers""]"
JetStop,8:00 AM - 4:00 PM,Gift shop,"[""umbrellas"",""travel-sized toiletries"",""portable chargers"",""magazines"",""snacks"",""luggage tags""]"
HangarHut,9:00 AM - 5:00 PM,Coffee shop,"[""umbrellas"",""snacks"",""sunglasses"",""travel-sized toiletries"",""travel guides"",""magazines""]"
AviationAvenue,8:00 AM - 4:00 PM,Electronics store,"[""water bottles"",""earphones"",""travel pillows""]"
AirsideBites,9:00 AM - 5:00 PM,Coffee shop,"[""magazines"",""snacks"",""portable chargers"",""water bottles"",""postcards""]"
TerminalTreats,12:00 PM - 8:00 PM,Gift shop,"[""portable chargers"",""travel adapters"",""snacks"",""travel-sized toiletries"",""sunglasses"",""earphones""]"
RunwaySnack,12:00 PM - 8:00 PM,Spa,"[""luggage tags"",""hand sanitizers"",""travel adapters"",""snacks""]"
SkywaySundries,8:30 AM - 4:30 PM,Electronics store,"[""umbrellas"",""portable chargers"",""sunglasses""]"
CloudCafe,8:30 AM - 4:30 PM,Spa,"[""portable chargers"",""postcards"",""books""]"
TarmacTreats,10:30 AM - 6:30 PM,Fast food restaurant,"[""earphones"",""water bottles"",""books"",""hand sanitizers""]"
GateGoods,11:00 AM - 7:00 PM,Bookstore,"[""postcards"",""sunglasses"",""earphones"",""magazines"",""water bottles""]"
AirfieldAisle,7:00 AM - 3:00 PM,Clothing boutique,"[""postcards"",""travel-sized toiletries"",""books""]"
JetwayJunction,8:30 AM - 4:30 PM,Bookstore,"[""travel pillows"",""umbrellas"",""postcards"",""sunglasses"",""travel-sized toiletries""]"
SkywaySundries,8:00 AM - 4:00 PM,Duty-free shop,"[""sunglasses"",""postcards"",""umbrellas"",""travel guides"",""travel adapters"",""luggage tags""]"
SkywaySundries,11:00 AM - 7:00 PM,Duty-free shop,"[""hand sanitizers"",""sunglasses"",""travel-sized toiletries""]"
AirfieldAisle,12:00 PM - 8:00 PM,Coffee shop,"[""books"",""snacks"",""magazines""]"
AviationAvenue,12:00 PM - 8:00 PM,Duty-free shop,"[""magazines"",""travel guides"",""postcards"",""hand sanitizers""]"
FlightFare,12:00 PM - 8:00 PM,Duty-free shop,"[""travel adapters"",""sunglasses"",""earphones"",""water bottles"",""travel guides""]"
RunwaySnack,8:00 AM - 4:00 PM,Spa,"[""portable chargers"",""travel adapters"",""books"",""travel guides"",""water bottles"",""sunglasses""]"
FlightFare,1:00 PM - 9:00 PM,Clothing boutique,"[""postcards"",""travel-sized toiletries"",""snacks""]"
FlightFare,10:00 AM - 6:00 PM,Coffee shop,"[""portable chargers"",""books"",""umbrellas""]"
TerminalTreats,10:30 AM - 6:30 PM,Electronics store,"[""umbrellas"",""sunglasses"",""hand sanitizers"",""snacks"",""books"",""travel guides""]"
RunwaySnack,11:00 AM - 7:00 PM,Spa,"[""travel adapters"",""earphones"",""luggage tags"",""travel guides"",""snacks""]"
SkyMart,8:30 AM - 4:30 PM,Clothing boutique,"[""travel pillows"",""books"",""portable chargers"",""travel guides""]"
CockpitCorner,8:30 AM - 4:30 PM,Coffee shop,"[""postcards"",""magazines"",""travel guides"",""hand sanitizers"",""umbrellas"",""travel-sized toiletries""]"
WingMart,9:00 AM - 5:00 PM,Duty-free shop,"[""postcards"",""portable chargers"",""books"",""travel-sized toiletries"",""earphones""]"
FlyByShop,10:00 AM - 6:00 PM,Clothing boutique,"[""postcards"",""travel guides"",""portable chargers"",""snacks"",""earphones"",""water bottles""]"
AeroAlley,1:00 PM - 9:00 PM,Duty-free shop,"[""travel adapters"",""books"",""sunglasses"",""hand sanitizers""]"
PropellerPantry,9:30 AM - 5:30 PM,Fast food restaurant,"[""water bottles"",""travel-sized toiletries"",""travel adapters""]"
SkyLounge,12:00 PM - 8:00 PM,Duty-free shop,"[""books"",""hand sanitizers"",""portable chargers"",""postcards""]"
JetwayJunction,8:30 AM - 4:30 PM,Gift shop,"[""earphones"",""sunglasses"",""portable chargers"",""books"",""travel adapters""]"
FlyByShop,10:30 AM - 6:30 PM,Clothing boutique,"[""hand sanitizers"",""travel pillows"",""travel guides"",""books"",""umbrellas""]"
AviationAvenue,8:00 AM - 4:00 PM,Clothing boutique,"[""snacks"",""travel-sized toiletries"",""magazines"",""earphones"",""sunglasses"",""water bottles""]"
AviatorAvenue,11:00 AM - 7:00 PM,Electronics store,"[""travel adapters"",""magazines"",""postcards"",""earphones""]"
AirfieldAisle,9:00 AM - 5:00 PM,Spa,"[""portable chargers"",""earphones"",""travel adapters""]"
CockpitCorner,10:30 AM - 6:30 PM,Electronics store,"[""snacks"",""magazines"",""travel guides"",""postcards"",""books"",""travel pillows""]"
PilotPickings,9:00 AM - 5:00 PM,Electronics store,"[""books"",""travel adapters"",""luggage tags"",""travel guides"",""hand sanitizers""]"
AirsideBites,10:30 AM - 6:30 PM,Fast food restaurant,"[""travel-sized toiletries"",""travel pillows"",""sunglasses"",""water bottles"",""luggage tags"",""portable chargers""]"
JetStop,1:00 PM - 9:00 PM,Bookstore,"[""luggage tags"",""books"",""umbrellas"",""magazines"",""travel adapters"",""portable chargers""]"
TerminalTreats,10:00 AM - 6:00 PM,Gift shop,"[""sunglasses"",""water bottles"",""hand sanitizers"",""magazines"",""postcards""]"
PilotPickings,9:00 AM - 5:00 PM,Clothing boutique,"[""snacks"",""travel pillows"",""magazines"",""travel adapters""]"
SkywaySundries,10:00 AM - 6:00 PM,Duty-free shop,"[""earphones"",""sunglasses"",""snacks"",""travel pillows""]"
FlyByShop,8:30 AM - 4:30 PM,Duty-free shop,"[""snacks"",""books"",""travel-sized toiletries"",""hand sanitizers"",""portable chargers""]"
SkyLounge,11:00 AM - 7:00 PM,Clothing boutique,"[""sunglasses"",""portable chargers"",""postcards"",""water bottles"",""travel guides""]"
PropellerPantry,1:00 PM - 9:00 PM,Coffee shop,"[""luggage tags"",""portable chargers"",""postcards"",""hand sanitizers"",""snacks"",""books""]"
RunwayRetail,9:00 AM - 5:00 PM,Gift shop,"[""travel-sized toiletries"",""portable chargers"",""earphones"",""umbrellas"",""travel adapters"",""travel guides""]"
JetStop,10:00 AM - 6:00 PM,Bookstore,"[""magazines"",""hand sanitizers"",""postcards""]"
HangarHut,9:00 AM - 5:00 PM,Electronics store,"[""travel adapters"",""sunglasses"",""magazines"",""postcards"",""travel guides""]"
RunwayRetail,10:30 AM - 6:30 PM,Duty-free shop,"[""snacks"",""travel guides"",""sunglasses""]"
AeroAlley,11:00 AM - 7:00 PM,Spa,"[""portable chargers"",""umbrellas"",""sunglasses"",""books""]"
TerminalTreats,9:30 AM - 5:30 PM,Electronics store,"[""hand sanitizers"",""postcards"",""magazines"",""travel adapters"",""sunglasses""]"
CloudCafe,8:30 AM - 4:30 PM,Spa,"[""sunglasses"",""travel-sized toiletries"",""postcards"",""snacks"",""hand sanitizers""]"
PilotPickings,10:00 AM - 6:00 PM,Spa,"[""magazines"",""books"",""travel guides"",""water bottles""]"
RunwayRetail,11:00 AM - 7:00 PM,Spa,"[""books"",""umbrellas"",""hand sanitizers"",""travel adapters"",""travel guides"",""earphones""]"
CloudCafe,7:00 AM - 3:00 PM,Electronics store,"[""postcards"",""umbrellas"",""travel guides""]"
SkyLounge,12:00 PM - 8:00 PM,Gift shop,"[""snacks"",""travel-sized toiletries"",""travel adapters""]"
SkywaySundries,9:30 AM - 5:30 PM,Duty-free shop,"[""postcards"",""travel guides"",""hand sanitizers"",""sunglasses"",""travel adapters"",""travel pillows""]"
JetStop,1:00 PM - 9:00 PM,Fast food restaurant,"[""water bottles"",""travel-sized toiletries"",""books"",""travel adapters"",""umbrellas"",""postcards""]"
AviationAvenue,9:00 AM - 5:00 PM,Fast food restaurant,"[""earphones"",""portable chargers"",""magazines"",""postcards"",""books""]"
TarmacTreats,8:30 AM - 4:30 PM,Clothing boutique,"[""books"",""water bottles"",""travel guides"",""postcards"",""hand sanitizers"",""luggage tags""]"
HangarHut,9:30 AM - 5:30 PM,Gift shop,"[""postcards"",""water bottles"",""magazines"",""travel pillows"",""umbrellas""]"
FlyByShop,10:00 AM - 6:00 PM,Spa,"[""portable chargers"",""travel-sized toiletries"",""water bottles"",""travel guides"",""snacks"",""sunglasses""]"
AirsideBites,10:30 AM - 6:30 PM,Spa,"[""water bottles"",""travel pillows"",""sunglasses""]"
SkyMart,11:00 AM - 7:00 PM,Duty-free shop,"[""magazines"",""hand sanitizers"",""travel adapters""]"
JetStop,8:30 AM - 4:30 PM,Electronics store,"[""luggage tags"",""water bottles"",""travel pillows"",""earphones"",""sunglasses"",""travel guides""]"
AviationAvenue,9:00 AM - 5:00 PM,Spa,"[""water bottles"",""books"",""travel pillows"",""travel guides"",""magazines"",""travel-sized toiletries""]"
RunwaySnack,8:00 AM - 4:00 PM,Clothing boutique,"[""hand sanitizers"",""luggage tags"",""postcards""]"
SkyportShop,11:00 AM - 7:00 PM,Gift shop,"[""sunglasses"",""umbrellas"",""portable chargers"",""travel guides"",""travel pillows"",""books""]"
CloudCafe,10:30 AM - 6:30 PM,Clothing boutique,"[""portable chargers"",""snacks"",""travel-sized toiletries"",""earphones"",""umbrellas""]"
FlightFare,8:30 AM - 4:30 PM,Electronics store,"[""portable chargers"",""travel pillows"",""water bottles"",""travel guides"",""snacks""]"
CloudCafe,9:30 AM - 5:30 PM,Spa,"[""travel pillows"",""magazines"",""hand sanitizers"",""postcards""]"
CloudCafe,10:00 AM - 6:00 PM,Duty-free shop,"[""sunglasses"",""portable chargers"",""postcards"",""hand sanitizers"",""earphones"",""luggage tags""]"
PropellerPantry,1:00 PM - 9:00 PM,Electronics store,"[""luggage tags"",""postcards"",""earphones""]"
SkyMart,9:00 AM - 5:00 PM,Fast food restaurant,"[""travel adapters"",""travel pillows"",""sunglasses""]"
AirfieldAisle,10:00 AM - 6:00 PM,Coffee shop,"[""earphones"",""sunglasses"",""umbrellas"",""travel adapters""]"
CockpitCorner,11:00 AM - 7:00 PM,Gift shop,"[""travel guides"",""travel adapters"",""travel-sized toiletries"",""postcards"",""travel pillows"",""sunglasses""]"
AviatorAvenue,9:00 AM - 5:00 PM,Duty-free shop,"[""water bottles"",""magazines"",""umbrellas""]"
AviatorAvenue,9:00 AM - 5:00 PM,Duty-free shop,"[""travel-sized toiletries"",""earphones"",""magazines""]"
SkyMart,8:00 AM - 4:00 PM,Duty-free shop,"[""portable chargers"",""water bottles"",""travel-sized toiletries"",""travel adapters"",""sunglasses""]"
JetwayJunction,1:00 PM - 9:00 PM,Duty-free shop,"[""travel pillows"",""luggage tags"",""snacks"",""travel adapters"",""travel guides""]"
SkywaySundries,9:00 AM - 5:00 PM,Clothing boutique,"[""umbrellas"",""magazines"",""earphones"",""travel pillows"",""sunglasses"",""travel-sized toiletries""]"
JetStop,10:30 AM - 6:30 PM,Spa,"[""luggage tags"",""travel pillows"",""postcards"",""portable chargers"",""travel guides""]"
SkyportShop,1:00 PM - 9:00 PM,Clothing boutique,"[""luggage tags"",""travel adapters"",""sunglasses"",""portable chargers"",""hand sanitizers""]"
WingMart,1:00 PM - 9:00 PM,Duty-free shop,"[""luggage tags"",""books"",""water bottles"",""portable chargers""]"
AirfieldAisle,9:00 AM - 5:00 PM,Clothing boutique,"[""postcards"",""sunglasses"",""water bottles""]"
SkyportShop,10:00 AM - 6:00 PM,Gift shop,"[""travel adapters"",""water bottles"",""travel pillows""]"
WingMart,10:30 AM - 6:30 PM,Electronics store,"[""books"",""earphones"",""umbrellas"",""sunglasses"",""travel guides""]"
SkyLounge,11:00 AM - 7:00 PM,Bookstore,"[""travel guides"",""travel adapters"",""magazines"",""portable chargers""]"
CabinCafe,12:00 PM - 8:00 PM,Duty-free shop,"[""travel-sized toiletries"",""books"",""earphones"",""water bottles"",""luggage tags""]"
CabinCafe,11:00 AM - 7:00 PM,Electronics store,"[""umbrellas"",""earphones"",""travel pillows"",""water bottles""]"
FlightFare,8:00 AM - 4:00 PM,Spa,"[""portable chargers"",""sunglasses"",""travel-sized toiletries"",""hand sanitizers""]"
SkyportShop,7:00 AM - 3:00 PM,Clothing boutique,"[""travel guides"",""snacks"",""travel-sized toiletries"",""postcards""]"
AeroAlley,10:00 AM - 6:00 PM,Coffee shop,"[""travel-sized toiletries"",""magazines"",""water bottles""]"
SkyMart,9:00 AM - 5:00 PM,Coffee shop,"[""travel guides"",""umbrellas"",""travel pillows"",""water bottles"",""travel-sized toiletries""]"
GateGoods,8:00 AM - 4:00 PM,Bookstore,"[""sunglasses"",""postcards"",""travel adapters"",""hand sanitizers"",""water bottles""]"
PropellerPantry,8:30 AM - 4:30 PM,Coffee shop,"[""books"",""water bottles"",""travel adapters"",""umbrellas"",""postcards"",""magazines""]"
AirfieldAisle,8:00 AM - 4:00 PM,Duty-free shop,"[""travel pillows"",""luggage tags"",""water bottles"",""portable chargers""]"
FlightFare,11:00 AM - 7:00 PM,Gift shop,"[""travel guides"",""hand sanitizers"",""books"",""luggage tags""]"
GateGoods,10:30 AM - 6:30 PM,Gift shop,"[""books"",""water bottles"",""luggage tags"",""hand sanitizers"",""earphones"",""travel-sized toiletries""]"
SkyLounge,12:00 PM - 8:00 PM,Bookstore,"[""travel guides"",""hand sanitizers"",""luggage tags""]"
TerminalTreats,7:00 AM - 3:00 PM,Electronics store,"[""magazines"",""hand sanitizers"",""earphones"",""travel pillows""]"
FlyByShop,12:00 PM - 8:00 PM,Electronics store,"[""portable chargers"",""travel-sized toiletries"",""travel adapters"",""umbrellas""]"
AviationAvenue,12:00 PM - 8:00 PM,Electronics store,"[""earphones"",""hand sanitizers"",""magazines""]"
RunwaySnack,1:00 PM - 9:00 PM,Electronics store,"[""travel adapters"",""travel guides"",""earphones"",""magazines""]"
AirsideBites,7:00 AM - 3:00 PM,Gift shop,"[""magazines"",""books"",""travel pillows"",""sunglasses"",""earphones"",""portable chargers""]"
JetwayJunction,7:00 AM - 3:00 PM,Coffee shop,"[""books"",""travel adapters"",""portable chargers"",""luggage tags"",""travel guides"",""postcards""]"
SkyportShop,9:30 AM - 5:30 PM,Coffee shop,"[""portable chargers"",""books"",""sunglasses"",""travel adapters"",""postcards"",""earphones""]"
RunwaySnack,9:30 AM - 5:30 PM,Electronics store,"[""sunglasses"",""travel-sized toiletries"",""portable chargers"",""luggage tags""]"
AirfieldAisle,8:30 AM - 4:30 PM,Clothing boutique,"[""earphones"",""magazines"",""travel-sized toiletries"",""postcards""]"
AeroAlley,8:30 AM - 4:30 PM,Duty-free shop,"[""magazines"",""books"",""earphones"",""travel guides"",""umbrellas"",""sunglasses""]"
CockpitCorner,10:00 AM - 6:00 PM,Coffee shop,"[""postcards"",""snacks"",""travel-sized toiletries"",""earphones""]"
PropellerPantry,7:00 AM - 3:00 PM,Clothing boutique,"[""umbrellas"",""hand sanitizers"",""travel-sized toiletries"",""snacks"",""magazines"",""postcards""]"
AviatorAvenue,9:00 AM - 5:00 PM,Spa,"[""travel-sized toiletries"",""snacks"",""travel pillows"",""water bottles"",""postcards""]"
JetStop,9:00 AM - 5:00 PM,Bookstore,"[""books"",""portable chargers"",""magazines"",""umbrellas"",""postcards""]"
SkyMart,11:00 AM - 7:00 PM,Fast food restaurant,"[""sunglasses"",""books"",""water bottles"",""luggage tags"",""earphones"",""snacks""]"
AirsideBites,9:00 AM - 5:00 PM,Duty-free shop,"[""books"",""umbrellas"",""travel guides""]"
CloudCafe,9:00 AM - 5:00 PM,Clothing boutique,"[""books"",""travel-sized toiletries"",""hand sanitizers""]"
TarmacTreats,8:00 AM - 4:00 PM,Clothing boutique,"[""travel-sized toiletries"",""portable chargers"",""luggage tags""]"
RunwayRetail,10:00 AM - 6:00 PM,Coffee shop,"[""travel pillows"",""postcards"",""sunglasses"",""books""]"
PropellerPantry,8:00 AM - 4:00 PM,Gift shop,"[""water bottles"",""luggage tags"",""travel adapters"",""sunglasses"",""travel pillows"",""travel-sized toiletries""]"
RunwayRetail,1:00 PM - 9:00 PM,Clothing boutique,"[""postcards"",""umbrellas"",""travel pillows"",""travel-sized toiletries"",""travel guides"",""sunglasses""]"
AviatorAvenue,11:00 AM - 7:00 PM,Fast food restaurant,"[""travel pillows"",""travel guides"",""earphones"",""sunglasses"",""magazines""]"
HangarHut,11:00 AM - 7:00 PM,Coffee shop,"[""books"",""travel-sized toiletries"",""magazines"",""water bottles"",""hand sanitizers"",""travel guides""]"
AirsideBites,8:30 AM - 4:30 PM,Clothing boutique,"[""earphones"",""water bottles"",""portable chargers"",""travel-sized toiletries"",""luggage tags"",""postcards""]"
FlightFare,10:00 AM - 6:00 PM,Electronics store,"[""books"",""magazines"",""travel-sized toiletries"",""sunglasses"",""luggage tags""]"
JetStop,10:30 AM - 6:30 PM,Electronics store,"[""magazines"",""earphones"",""luggage tags"",""snacks""]"
SkyLounge,9:30 AM - 5:30 PM,Gift shop,"[""magazines"",""travel adapters"",""snacks"",""travel-sized toiletries"",""luggage tags""]"
SkywaySundries,10:00 AM - 6:00 PM,Gift shop,"[""earphones"",""hand sanitizers"",""luggage tags"",""magazines"",""portable chargers"",""books""]"
CockpitCorner,11:00 AM - 7:00 PM,Fast food restaurant,"[""sunglasses"",""umbrellas"",""hand sanitizers"",""travel-sized toiletries"",""snacks"",""water bottles""]"
SkyLounge,10:00 AM - 6:00 PM,Gift shop,"[""hand sanitizers"",""postcards"",""snacks"",""books""]"
JetwayJunction,8:00 AM - 4:00 PM,Coffee shop,"[""earphones"",""umbrellas"",""water bottles"",""magazines"",""portable chargers"",""travel adapters""]"
AviatorAvenue,9:00 AM - 5:00 PM,Spa,"[""postcards"",""books"",""sunglasses"",""luggage tags"",""travel guides""]"
CabinCafe,8:00 AM - 4:00 PM,Fast food restaurant,"[""luggage tags"",""books"",""travel guides""]"
FlightFare,7:00 AM - 3:00 PM,Spa,"[""travel adapters"",""portable chargers"",""luggage tags"",""snacks"",""travel-sized toiletries"",""travel guides""]"
GateGoods,12:00 PM - 8:00 PM,Bookstore,"[""umbrellas"",""travel guides"",""hand sanitizers"",""sunglasses""]"
TarmacTreats,10:00 AM - 6:00 PM,Fast food restaurant,"[""earphones"",""umbrellas"",""travel guides""]"
PilotPickings,7:00 AM - 3:00 PM,Coffee shop,"[""travel pillows"",""luggage tags"",""travel-sized toiletries"",""postcards"",""snacks"",""hand sanitizers""]"
HangarHut,12:00 PM - 8:00 PM,Spa,"[""luggage tags"",""hand sanitizers"",""portable chargers"",""umbrellas"",""travel pillows""]"
AviationAvenue,12:00 PM - 8:00 PM,Spa,"[""postcards"",""water bottles"",""travel pillows"",""magazines"",""travel adapters"",""snacks""]"
PilotPickings,10:30 AM - 6:30 PM,Spa,"[""sunglasses"",""umbrellas"",""travel-sized toiletries"",""water bottles""]"
RunwayRetail,9:00 AM - 5:00 PM,Spa,"[""postcards"",""travel adapters"",""water bottles"",""travel pillows""]"
CabinCafe,12:00 PM - 8:00 PM,Gift shop,"[""sunglasses"",""earphones"",""magazines""]"
JetwayJunction,9:00 AM - 5:00 PM,Electronics store,"[""travel adapters"",""luggage tags"",""umbrellas""]"
GateGoods,8:00 AM - 4:00 PM,Clothing boutique,"[""snacks"",""portable chargers"",""water bottles"",""postcards"",""travel adapters""]"
SkyMart,9:00 AM - 5:00 PM,Bookstore,"[""snacks"",""postcards"",""travel guides"",""portable chargers""]"
GateGoods,12:00 PM - 8:00 PM,Bookstore,"[""books"",""travel pillows"",""earphones"",""travel adapters"",""sunglasses""]"
RunwaySnack,9:00 AM - 5:00 PM,Clothing boutique,"[""umbrellas"",""books"",""water bottles"",""luggage tags"",""travel adapters"",""sunglasses""]"
WingMart,10:30 AM - 6:30 PM,Fast food restaurant,"[""water bottles"",""earphones"",""travel-sized toiletries"",""snacks""]"
PilotPickings,10:30 AM - 6:30 PM,Clothing boutique,"[""travel guides"",""luggage tags"",""travel-sized toiletries""]"
FlightFare,12:00 PM - 8:00 PM,Coffee shop,"[""earphones"",""books"",""travel guides"",""travel adapters"",""snacks"",""water bottles""]"
CloudCafe,8:30 AM - 4:30 PM,Fast food restaurant,"[""luggage tags"",""sunglasses"",""earphones"",""travel adapters""]"
HangarHut,10:00 AM - 6:00 PM,Gift shop,"[""luggage tags"",""travel-sized toiletries"",""snacks""]"
FlightFare,10:00 AM - 6:00 PM,Coffee shop,"[""travel guides"",""postcards"",""snacks"",""earphones"",""travel-sized toiletries"",""books""]"
RunwaySnack,8:30 AM - 4:30 PM,Coffee shop,"[""sunglasses"",""earphones"",""travel pillows""]"
RunwaySnack,1:00 PM - 9:00 PM,Electronics store,"[""travel pillows"",""umbrellas"",""travel guides"",""portable chargers"",""water bottles"",""sunglasses""]"
FlightFare,10:00 AM - 6:00 PM,Coffee shop,"[""books"",""earphones"",""travel pillows"",""hand sanitizers""]"
CabinCafe,11:00 AM - 7:00 PM,Clothing boutique,"[""snacks"",""portable chargers"",""travel guides""]"
FlightFare,8:00 AM - 4:00 PM,Clothing boutique,"[""hand sanitizers"",""travel pillows"",""travel adapters"",""luggage tags""]"
AeroAlley,8:00 AM - 4:00 PM,Fast food restaurant,"[""snacks"",""earphones"",""travel pillows"",""luggage tags"",""magazines"",""travel guides""]"
GateGoods,7:00 AM - 3:00 PM,Bookstore,"[""luggage tags"",""books"",""umbrellas""]"
PropellerPantry,8:00 AM - 4:00 PM,Spa,"[""umbrellas"",""hand sanitizers"",""water bottles"",""snacks"",""books"",""sunglasses""]"
FlightFare,10:30 AM - 6:30 PM,Gift shop,"[""books"",""umbrellas"",""earphones"",""snacks"",""portable chargers"",""water bottles""]"
PilotPickings,8:00 AM - 4:00 PM,Electronics store,"[""travel adapters"",""postcards"",""earphones"",""water bottles"",""magazines""]"
AviatorAvenue,9:30 AM - 5:30 PM,Bookstore,"[""sunglasses"",""travel guides"",""snacks"",""portable chargers""]"
PilotPickings,8:30 AM - 4:30 PM,Gift shop,"[""hand sanitizers"",""portable chargers"",""earphones"",""magazines""]"
WingMart,7:00 AM - 3:00 PM,Coffee shop,"[""travel adapters"",""travel guides"",""travel pillows"",""travel-sized toiletries"",""sunglasses"",""books""]"
AeroAlley,9:00 AM - 5:00 PM,Spa,"[""umbrellas"",""postcards"",""earphones"",""hand sanitizers"",""water bottles"",""luggage tags""]"
AviatorAvenue,9:00 AM - 5:00 PM,Spa,"[""umbrellas"",""postcards"",""travel guides"",""books""]"
TerminalTreats,8:00 AM - 4:00 PM,Clothing boutique,"[""travel-sized toiletries"",""magazines"",""travel adapters"",""travel pillows""]"
PilotPickings,12:00 PM - 8:00 PM,Spa,"[""travel-sized toiletries"",""umbrellas"",""portable chargers"",""travel guides""]"
RunwayRetail,11:00 AM - 7:00 PM,Spa,"[""travel adapters"",""water bottles"",""umbrellas"",""hand sanitizers"",""luggage tags""]"
SkywaySundries,8:00 AM - 4:00 PM,Coffee shop,"[""travel pillows"",""water bottles"",""travel adapters""]"
SkyportShop,10:00 AM - 6:00 PM,Bookstore,"[""travel pillows"",""postcards"",""portable chargers""]"
JetStop,11:00 AM - 7:00 PM,Gift shop,"[""earphones"",""portable chargers"",""water bottles"",""luggage tags"",""travel adapters""]"
AirfieldAisle,9:30 AM - 5:30 PM,Spa,"[""snacks"",""travel pillows"",""hand sanitizers"",""travel guides"",""postcards""]"
TerminalTreats,1:00 PM - 9:00 PM,Duty-free shop,"[""travel-sized toiletries"",""travel adapters"",""water bottles"",""sunglasses""]"
SkywaySundries,9:30 AM - 5:30 PM,Bookstore,"[""snacks"",""hand sanitizers"",""umbrellas""]"
HangarHut,12:00 PM - 8:00 PM,Spa,"[""water bottles"",""luggage tags"",""hand sanitizers"",""earphones"",""travel adapters""]"
AviatorAvenue,8:00 AM - 4:00 PM,Duty-free shop,"[""postcards"",""travel-sized toiletries"",""luggage tags"",""magazines"",""travel guides"",""umbrellas""]"
CabinCafe,1:00 PM - 9:00 PM,Fast food restaurant,"[""travel adapters"",""snacks"",""travel-sized toiletries"",""umbrellas""]"
AirsideBites,12:00 PM - 8:00 PM,Gift shop,"[""books"",""hand sanitizers"",""sunglasses""]"
SkyportShop,7:00 AM - 3:00 PM,Gift shop,"[""postcards"",""luggage tags"",""magazines"",""books"",""portable chargers"",""travel-sized toiletries""]"
SkyportShop,8:30 AM - 4:30 PM,Gift shop,"[""travel adapters"",""books"",""portable chargers"",""hand sanitizers""]"
HangarHut,8:00 AM - 4:00 PM,Fast food restaurant,"[""travel-sized toiletries"",""magazines"",""hand sanitizers""]"
AirsideBites,9:30 AM - 5:30 PM,Electronics store,"[""sunglasses"",""umbrellas"",""books"",""luggage tags"",""travel adapters""]"
HangarHut,9:00 AM - 5:00 PM,Spa,"[""hand sanitizers"",""travel adapters"",""sunglasses""]"
